name,datasets,bidirectional_lstm,lstm_dropout,mlp_dropout,lr,step_size,gamma,weight_decay,hidden_dim,num_layers,batch_size,frame_frequency,num_epoch,num_workers,train_loss,test_loss,train_acc,test_acc,top5_test_acc,best_epoch,Time
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,4,20,4,0.34,0.02,94.39,81.06,93.63,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,1,20,4,0.53,0.02,92,80.59,93.44,18,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,1,20,4,0.38,0.02,94.78,80.92,93.44,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,20,4,0.33,0.01,95.14,87.4,95.87,13,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,2,20,4,0.3,0.01,95.54,86.65,95.69,13,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.2,0.2,0.0002,5,0.5,0,512,3,64,4,20,4,0.28,0.01,96.23,88.95,96.84,13,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.2,0.2,0.0002,5,0.5,0,512,3,64,4,20,4,0.18,0.01,97.79,89.74,96.71,18,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,1,20,4,0.7,0.02,88.14,76.59,91.89,18,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,1,20,4,0.78,0.02,87.11,74.18,90.85,18,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,2,20,4,0.34,0.02,95.08,83.66,94.23,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,2,20,4,0.38,0.02,94.55,83.84,94.19,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.3,0.3,0.0002,5,0.5,0,512,3,64,4,20,4,0.27,0.01,96.04,87.2,96.11,18,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.3,0.3,0.0002,5,0.5,0,512,3,64,4,20,4,0.32,0.01,95.58,86.34,96.11,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,1,20,4,1.37,0.03,71.55,62.89,83.91,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,1,20,4,1.4,0.03,71.65,65.76,85.48,17,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,2,20,4,0.59,0.02,90.71,80.31,93.32,18,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,2,20,4,0.62,0.02,89.9,77.79,93.46,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.4,0.4,0.0002,5,0.5,0,512,3,64,4,20,4,0.45,0.02,93.01,82.65,94.45,19,
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.4,0.4,0.0002,5,0.5,0,512,3,64,4,20,4,0.55,0.02,91.24,82.38,94.69,19,
