name,datasets,bidirectional_lstm,lstm_dropout,mlp_dropout,lr,step_size,gamma,weight_decay,hidden_dim,num_layers,batch_size,frame_frequency,num_epoch,num_workers,concatenate,train_loss,test_loss,train_acc,test_acc,top5_test_acc,best_epoch,Time
DINO_features,"['deephand_left', 'dino_left_large']",True,0.05,0.05,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.1,0.02,98.85,84.42,97.55,12,2024-12-02_14-59-53
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.06,0.02,99.58,84.9,97.52,18,2024-12-02_10-02-23
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,16,2,20,4,True,0.06,0.04,99.15,83.62,97.46,19,2024-12-02_11-46-50
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,128,2,20,4,True,0.31,0.01,98.67,82.34,97.44,18,2024-12-02_10-45-22
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.15,0.02,98.83,82.69,97.41,16,2024-12-02_21-33-51
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,216,2,16,2,20,2,True,0.36,0.06,97.08,82.32,97.33,17,2024-12-03_19-02-53
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,64,2,20,4,True,0.12,0.01,99.37,83.02,97.3,17,2024-12-02_09-52-46
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,16,2,20,2,True,0.38,0.06,97.35,82.05,97.3,18,2024-12-04_00-39-54
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",False,0.1,0.1,0.0001,5,0.5,0.01,2048,2,16,2,20,2,True,0.36,0.06,97.38,80.86,97.28,19,2024-12-03_23-00-41
DINO_features,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.09,0.02,99.24,82.71,97.26,17,2024-12-02_10-31-06
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,16,2,20,4,True,0.03,0.04,99.48,84.15,97.21,18,2024-12-02_10-16-42
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.1,0.02,98.86,83.55,97.21,14,2024-12-02_15-08-43
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,128,2,20,4,True,0.23,0.01,98.94,82.16,97.17,19,2024-12-02_09-45-21
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,2048,2,16,2,20,2,True,0.31,0.06,97.69,82.03,97.15,19,2024-12-04_04-00-15
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,512,2,16,2,20,2,True,0.38,0.06,97.13,81.68,97.15,17,2024-12-04_07-18-59
